campaign,objective,impressions,link_clicks,link_ctr,cpc_aed,checkouts,add_to_carts,purchases,spend_aed,source_note
Smart LED Test - Sales - UAE,Sales,15134,1065,7.04,0.0734,2,0,0,78.21,Ads Manager screenshot and case-study record
Wireless Camera Doorbell - Purchase,Purchase,1622,53,3.27,1.48,0,0,0,,Ads Manager screenshot; spend not shown
